"V1","V2"
"Accuracy","0.004"
"KERF_Sum","0.356"
"KERF_Multi","0.548"
"KERF_Duration","0.637"
"Age","0.635"
"Sex","0.051"
"BSI_GSI","0.702"
"BDI.II_Sum","0.128"
"PCL_5_Sum","0.08"
"SSD.12_Sum","0.367"
"FDS_DES_Sum","0"
"KERF_Sum.1","1"
"KERF_Multi.1","1"
"KERF_Duration.1","1"
"Age.1","1"
"Sex.1","1"
"KERF_SUM_PEA","0.775"
"KERF_SUM_PEAS","0.067"
"KERF_SUM_PEER","0.763"
"KERF_SUM_WITS","0.696"
"KERF_SUM_PPA","0.539"
"KERF_SUM_EN","0.387"
"KERF_SUM_PN","0.411"
"KERF_SUM_WITP","0.498"
"KERF_SUM_SEXA_H","0.447"
"KERF_SUM_SEXA_O","0.286"
"SUM_PEA_3","0.449"
"SUM_PEA_4","0.548"
"SUM_PEA_5","0.318"
"SUM_PEA_6","0.605"
"SUM_PEA_7","0.303"
"SUM_PEA_8","0.481"
"SUM_PEA_9","0.578"
"SUM_PEA_10","0.776"
"SUM_PEA_11","0.038"
"SUM_PEA_12","0.02"
"SUM_PEA_13","0.013"
"SUM_PEA_14","0.154"
"SUM_PEA_15","0.566"
"SUM_PEA_16","0.224"
"SUM_PEA_17","0.285"
"SUM_PEAS_3","0.927"
"SUM_PEAS_4","0.725"
"SUM_PEAS_5","0.555"
"SUM_PEAS_6","0.032"
"SUM_PEAS_7","0.019"
"SUM_PEAS_8","0.052"
"SUM_PEAS_9","0.178"
"SUM_PEAS_10","0.031"
"SUM_PEAS_11","0.08"
"SUM_PEAS_12","0.112"
"SUM_PEAS_13","0.479"
"SUM_PEAS_14","0.451"
"SUM_PEAS_15","0.64"
"SUM_PEAS_16","0.664"
"SUM_PEAS_17","0.806"
"SUM_PEER_3","1"
"SUM_PEER_4","0.704"
"SUM_PEER_5","0.543"
"SUM_PEER_6","0.381"
"SUM_PEER_7","0.56"
"SUM_PEER_8","0.146"
"SUM_PEER_9","0.773"
"SUM_PEER_10","0.822"
"SUM_PEER_11","0.382"
"SUM_PEER_12","0.631"
"SUM_PEER_13","0.227"
"SUM_PEER_14","0.758"
"SUM_PEER_15","0.527"
"SUM_PEER_16","0.547"
"SUM_PEER_17","0.457"
"SUM_PPA_3","0.945"
"SUM_PPA_4","0.74"
"SUM_PPA_5","0.174"
"SUM_PPA_6","0.632"
"SUM_PPA_7","0.36"
"SUM_PPA_8","0.392"
"SUM_PPA_9","0.736"
"SUM_PPA_10","0.419"
"SUM_PPA_11","0.862"
"SUM_PPA_12","0.657"
"SUM_PPA_13","0.884"
"SUM_PPA_14","0.063"
"SUM_PPA_15","0.182"
"SUM_PPA_16","0.751"
"SUM_PPA_17","0.93"
"SUM_EN_3","0.625"
"SUM_EN_4","0.242"
"SUM_EN_5","0.418"
"SUM_EN_6","0.582"
"SUM_EN_7","0.46"
"SUM_EN_8","0.471"
"SUM_EN_9","0.086"
"SUM_EN_10","0.134"
"SUM_EN_11","0.217"
"SUM_EN_12","0.076"
"SUM_EN_13","0.456"
"SUM_EN_14","0.66"
"SUM_EN_15","0.554"
"SUM_EN_16","0.321"
"SUM_EN_17","0.25"
"SUM_PN_3","0.599"
"SUM_PN_4","0.666"
"SUM_PN_5","0.599"
"SUM_PN_6","0.67"
"SUM_PN_7","0.602"
"SUM_PN_8","0.519"
"SUM_PN_9","0.186"
"SUM_PN_10","0.263"
"SUM_PN_11","0.599"
"SUM_PN_12","0.472"
"SUM_PN_13","0.581"
"SUM_PN_14","0.689"
"SUM_PN_15","0.715"
"SUM_PN_16","0.506"
"SUM_PN_17","0.347"
"SUM_WITP_3","0.86"
"SUM_WITP_4","0.767"
"SUM_WITP_5","0.624"
"SUM_WITP_6","0.483"
"SUM_WITP_7","0.663"
"SUM_WITP_8","0.633"
"SUM_WITP_9","0.405"
"SUM_WITP_10","0.728"
"SUM_WITP_11","0.182"
"SUM_WITP_12","0.772"
"SUM_WITP_13","0.852"
"SUM_WITP_14","0.828"
"SUM_WITP_15","0.722"
"SUM_WITP_16","0.844"
"SUM_WITP_17","0.413"
"SUM_SEXA_H_3","1"
"SUM_SEXA_H_4","1"
"SUM_SEXA_H_5","1"
"SUM_SEXA_H_6","1"
"SUM_SEXA_H_7","1"
"SUM_SEXA_H_8","0.952"
"SUM_SEXA_H_9","1"
"SUM_SEXA_H_10","0.934"
"SUM_SEXA_H_11","1"
"SUM_SEXA_H_12","1"
"SUM_SEXA_H_13","1"
"SUM_SEXA_H_14","1"
"SUM_SEXA_H_15","1"
"SUM_SEXA_H_16","1"
"SUM_SEXA_H_17","1"
"SUM_SEXA_O_3","1"
"SUM_SEXA_O_4","1"
"SUM_SEXA_O_5","1"
"SUM_SEXA_O_6","1"
"SUM_SEXA_O_7","1"
"SUM_SEXA_O_8","1"
"SUM_SEXA_O_9","1"
"SUM_SEXA_O_10","0.903"
"SUM_SEXA_O_11","1"
"SUM_SEXA_O_12","0.893"
"SUM_SEXA_O_13","0.709"
"SUM_SEXA_O_14","0.642"
"SUM_SEXA_O_15","0.829"
"SUM_SEXA_O_16","0.89"
"SUM_SEXA_O_17","0.874"
"SUM_WITS_3","0.872"
"SUM_WITS_4","0.487"
"SUM_WITS_5","0.357"
"SUM_WITS_6","0.17"
"SUM_WITS_7","0.038"
"SUM_WITS_8","0.464"
"SUM_WITS_9","0.24"
"SUM_WITS_10","0.364"
"SUM_WITS_11","0.291"
"SUM_WITS_12","0.132"
"SUM_WITS_13","0.28"
"SUM_WITS_14","0.065"
"SUM_WITS_15","0.015"
"SUM_WITS_16","0.034"
"SUM_WITS_17","0.216"
